channel,video_link,views,likes,dislikes
TTLYTEALA,https://www.youtube.com/watch?v=yNukI93CPs4,16307367,18905,1599
TTLYTEALA,https://www.youtube.com/watch?v=IhmeO4rKvfU,1857427,34229,12133
TTLYTEALA,https://www.youtube.com/watch?v=BbK5kO0BMHo,4028880,23428,657
TTLYTEALA,https://www.youtube.com/watch?v=QXPaJPedyUY,1338993,36402,1402
TTLYTEALA,https://www.youtube.com/watch?v=IiD06bySOrk,1512794,25682,1673
makeupbytinayong,https://www.youtube.com/watch?v=CKCok4TrNww,4082994,173431,5933
makeupbytinayong,https://www.youtube.com/watch?v=XcBOYdBCo5Y,12428672,67236,3776
makeupbytinayong,https://www.youtube.com/watch?v=4qsLJArkAe4,2277364,130205,3180
makeupbytinayong,https://www.youtube.com/watch?v=mXfYZXRQZ3o,3417144,107838,2780
makeupbytinayong,https://www.youtube.com/watch?v=Soy-xd8l1do,2082602,70977,4860
makeupbytinayong,https://www.youtube.com/watch?v=2UmdMLh-oMs,9284775,41322,1928
makeupbytinayong,https://www.youtube.com/watch?v=XW0V2SZidYM,348493,61176,4004
makeupbytinayong,https://www.youtube.com/watch?v=KkoDPuYxnIk,9189174,28103,1170
makeupbytinayong,https://www.youtube.com/watch?v=vo92vuLyghk,13481584,38877,2790
makeupbytinayong,https://www.youtube.com/watch?v=R3BFX-WvQlY,3895354,33567,894
